Title,Url,Length,Viewed,Bookmark,Tags,AddDate
"Shorthand Sue Teaches Teeline #5 - vowels - YouTube",https://www.youtube.com/watch?v=HvAQTl1ZD3E,short,1,,Teeline,1467328294
"Gregg Stenography how it works lesson 2 - YouTube",https://www.youtube.com/watch?v=p0qKtre2G-Q,long,0,,Gregg,1467328294
"Shorthand Sue Teaches Teeline #6 - advanced tips - YouTube",https://www.youtube.com/watch?v=7bGyoRv0NWQ,long,1,,Teeline,1467328294
"Full lecture/lezing by Adam Savage at Universiteit Twente - YouTube :00h21m00s:",https://www.youtube.com/watch?v=nm2oyBIZJL8,long,1,,Savage,1467328294
"Alan Watts Zen bones and Tales 1hr47 - YouTube",https://www.youtube.com/watch?v=t7SwqBNfLuU,long,1,,Watts,1467328294
"Alan Watts ~ Life - YouTube",https://www.youtube.com/watch?v=10kIX4yW1-A,long,1,,Watts,1467328294
"Alan Watts Talk About ZEN, The Way of Zen FULL Alan Watts Philosophy - YouTube",https://www.youtube.com/watch?v=U2nJgnlR7W4,long,1,,Watts,1467328294
"Mary Roach in conversation with Adam Savage at San Francisco Public Library - YouTube",https://www.youtube.com/watch?v=BFf6yqHXS3c,long,0,00h24m42s,Savage,1467328294
"Adam Savage Interviews Author Mary Roach - The Talking Room - YouTube",https://www.youtube.com/watch?v=kfZ9RrxQ5NM,long,0,,Savage,1467328294
"The Mind - Alan Watts - YouTube",https://www.youtube.com/watch?v=emHAoQGoQic,short,1,,Watts,1467328294
"Live Fully Now - Alan Watts - YouTube",https://www.youtube.com/watch?v=HdqVF7-8wng,short,1,,Watts,1467328294
"Alan Watts - Living in the present (boat analogy) - YouTube",https://www.youtube.com/watch?v=G4j6cUwCRmI,short,1,,Watts,1467328294
"Alan Watts by South Park creators (All in one in HD) - YouTube",https://www.youtube.com/watch?v=7YgEhvZDZVg,short,0,,Watts,1467328294
"Alan Watts ~ You Suffer Because You Enjoy It - YouTube",https://www.youtube.com/watch?v=48JEnQ1kJnc,short,0,,Watts,1467328294
"Alan Watts - The Beauty of Nothingness - YouTube",https://www.youtube.com/watch?v=ivurmn3hnwc,short,1,,Watts,1467328294
"Nothingness is the Ultimate Reality - Alan Watts - YouTube",https://www.youtube.com/watch?v=eKuGiZ0rL-0,short,0,,Watts,1467328294
"ॐ Losing the Ego: the Awakening by Alan Watts - YouTube",https://www.youtube.com/watch?v=qFDKlTqt1pE,short,1,,Watts,1467328294
"The Ego Illusion ~ Alan Watts - YouTube",https://www.youtube.com/watch?v=xAdMbNI8u2M,short,0,,Watts,1467328294
"Alan Watts - The Use of LSD and Psilocybin - YouTube",https://www.youtube.com/watch?v=4l90LMpSJM4,short,0,,Watts,1467328294
"Alan Watts - The Taoist Way - YouTube",https://www.youtube.com/watch?v=Iv9zocKASsM,long,0,,Watts,1467328294
"What is Wrong With Our Culture [Alan Watts] - YouTube",https://www.youtube.com/watch?v=YMDu3JdQ8Ow,short,1,,Watts,1467328294
"Alan Watts ~ Society Is A Hoax , Take Control Of Your Life - YouTube",https://www.youtube.com/watch?v=IDqxgU7CbIw,long,0,,Watts,1467328294
"Alan Watts: M O N E Y - YouTube",https://www.youtube.com/watch?v=AiNODsOnvYA,short,1,,Watts,1467328294
"Alan Watts - Choice - YouTube",https://www.youtube.com/watch?v=D7CH9cRN8Rg,short,1,,Watts,1467328294
"Allan Watts - What am I supposed to do in life? - YouTube",https://www.youtube.com/watch?v=JEgZACpXP3U,short,1,,Watts,1467328294
"Alan Watts - Having Fun - YouTube",https://www.youtube.com/watch?v=xn85vztvtmo,short,1,,Watts,1467328294
"Alan Watts ~ The Greatest Skill of All - YouTube",https://www.youtube.com/watch?v=LgZ73Lc5VS8,short,1,,Watts,1467328294
"Alan Watts - Think of Nothing - YouTube",https://www.youtube.com/watch?v=aQ5upMz0_ig,short,1,,Watts,1467328294
"Alan Watts - How To Attract What You Love - YouTube",https://www.youtube.com/watch?v=VCxRSiaFciI,long,0,,Watts,1467328294
"ALAN WATTS; Work as Play (Video) - YouTube",https://www.youtube.com/watch?v=YiEzxNqw6_0,long,0,,Watts,1467328294
"Alan Watts: QUESTIONS & ANSWERS - YouTube",https://www.youtube.com/watch?v=sgAC0zyGnrg,long,0,,Watts,1467328294
"Noam Chomsky full length interview: Who rules the world now? - YouTube",https://www.youtube.com/watch?v=P2lsEVlqts0,long,1,,Chomsky,1467328294
"“Language, Creativity, and the Limits of Understanding” by Professor Noam Chomsky (4-21-16) - YouTube",https://www.youtube.com/watch?v=XNSxj0TVeJs,long,0,,Chomsky,1467328294
"Full Conversation with Mythbusters' Adam Savage | Inquiring Minds - YouTube",https://www.youtube.com/watch?v=kNHbJ1fBrpA,long,0,,Savage,1467328294
